Seed	Iterations	Most_Frequent	Frequency
1529	64	4100	2
1530	102	4100	2
1531	56	6100	2
1532	96	6100	2
1533	2	2500	2
1534	55	9600	2
1535	31	9600	2
1536	73	4100	2
1537	49	9600	2
1538	44	4100	2
1539	21	0000	1
1540	28	4100	2
1541	28	0000	1
1542	57	6100	2
1543	8	9600	2
1544	32	0000	1
1545	84	6100	2
1546	60	6100	2
1547	79	4100	2
1548	12	0006	1
1549	51	6100	2
1550	7	0000	1
1551	89	4100	2
1552	47	0000	1
1553	54	9600	2
1554	42	4100	2
1555	55	4100	2
1556	41	4100	2
1557	54	4100	2
1558	84	6100	2
1559	5	2500	2
1560	40	9600	2
1561	31	0000	1
1562	7	0006	1
1563	66	4100	2
1564	11	5600	2
1565	47	3317	1
1566	43	6100	2
1567	13	2100	2
1568	50	6100	2
1569	78	6100	2
1570	51	0240	1
1571	73	4100	2
1572	29	4100	2
1573	42	6100	2
1574	11	2100	2
1575	23	8100	2
1576	32	6100	2
1577	27	0000	1
1578	2	0100	2
1579	43	4100	2
1580	64	4100	2
1581	3	2500	2
1582	62	0000	1
1583	29	9600	2
1584	34	0000	1
1585	57	9600	2
1586	25	6100	2
1587	53	3317	1
1588	53	4100	2
1589	20	6100	2
1590	18	4100	2
1591	80	6100	2
1592	7	0000	1
1593	34	9600	2
1594	52	6100	2
1595	28	0000	1
1596	19	0000	1
1597	58	6100	2
1598	54	4100	2
1599	3	0000	1
1600	4	5600	2
1601	55	6100	2
1602	77	4100	2
1603	25	0000	1
1604	10	6100	2
1605	31	0000	1
1606	20	0000	1
1607	7	2500	2
1608	62	4100	2
1609	8	9600	2
1610	5	2500	2
1611	59	6100	2
1612	82	6100	2
1613	88	4100	2
1614	80	6100	2
1615	75	6100	2
1616	71	4100	2
1617	16	4100	2
1618	4	7600	2
1619	60	6100	2
1620	16	0000	1
1621	57	6100	2
1622	41	4100	2
1623	57	4100	2
1624	50	4100	2
1625	20	6100	2
1626	12	5600	2
1627	10	0000	1
1628	85	6100	2
1629	64	4100	2
1630	25	6100	2
1631	37	4100	2
1632	10	0000	1
1633	12	0078	1
1634	19	4100	2
1635	64	6100	2
1636	36	6100	2
