Seed	Iterations	Most_Frequent	Frequency
1802	50	2207	2
1803	61	7971	2
1804	43	2261	2
1805	106	7971	2
1806	52	9682	2
1807	49	7971	2
1808	115	1764	2
1809	97	9682	2
1810	137	7971	2
1811	93	9682	2
1812	85	9682	2
1813	103	7971	2
1814	157	7971	2
1815	91	9682	2
1816	65	1764	2
1817	38	7971	2
1818	67	1456	2
1819	48	9682	2
1820	67	1385	2
1821	65	7971	2
1822	48	3544	2
1823	102	9682	2
1824	62	7971	2
1825	98	7971	2
1826	94	7971	2
1827	97	1764	2
1828	89	7971	2
1829	85	7971	2
1830	116	7971	2
1831	159	7971	2
1832	137	7971	2
1833	95	7971	2
1834	40	9682	2
1835	66	7971	2
1836	69	7971	2
1837	84	9682	2
1838	62	7971	2
1839	48	6531	2
1840	84	1764	2
1841	68	9682	2
1842	125	7971	2
1843	149	7971	2
1844	53	1385	2
1845	112	7971	2
1846	87	7971	2
1847	52	3475	2
1848	64	1385	2
1849	118	7971	2
1850	83	7971	2
1851	94	2918	2
1852	43	9682	2
1853	70	1385	2
1854	94	1764	2
1855	125	7971	2
1856	128	7971	2
1857	35	7971	2
1858	130	7971	2
1859	77	9682	2
1860	159	7971	2
1861	114	7971	2
1862	130	7971	2
1863	74	1764	2
1864	94	9682	2
1865	44	7971	2
1866	56	1764	2
1867	113	9682	2
1868	43	2918	2
1869	48	1456	2
1870	152	7971	2
1871	87	7971	2
1872	97	1764	2
1873	112	1764	2
1874	47	7971	2
1875	24	8710	2
1876	68	1456	2
1877	158	7971	2
1878	70	7971	2
1879	99	7971	2
1880	31	9475	2
1881	58	9682	2
1882	54	9682	2
1883	24	9932	2
1884	85	7971	2
1885	82	7971	2
1886	51	7900	2
1887	118	7971	2
1888	100	2918	2
1889	72	9682	2
1890	94	7971	2
1891	152	7971	2
1892	52	7971	2
1893	105	1764	2
1894	23	3371	2
1895	108	7971	2
1896	91	1764	2
1897	77	9682	2
1898	66	1764	2
1899	47	7971	2
1900	55	9332	2
1901	114	7971	2
1902	20	7971	2
1903	59	9682	2
1904	89	9682	2
1905	66	1385	2
1906	89	1764	2
1907	103	7971	2
1908	43	3544	2
1909	43	3557	2
1910	64	1456	2
1911	67	1385	2
1912	91	1764	2
1913	151	7971	2
1914	14	7971	2
1915	20	6008	2
1916	69	2918	2
1917	71	1385	2
1918	88	9682	2
1919	110	1764	2
1920	55	7900	2
1921	57	1764	2
1922	53	1456	2
1923	99	9682	2
1924	98	9682	2
1925	87	1764	2
1926	122	9682	2
1927	65	7971	2
1928	114	9682	2
1929	92	9682	2
1930	130	7971	2
1931	111	7971	2
1932	132	1764	2
1933	91	9682	2
1934	66	9682	2
1935	65	2207	2
1936	46	7900	2
1937	15	7971	2
1938	93	9682	2
1939	95	1764	2
1940	99	7971	2
1941	90	7971	2
1942	49	9682	2
1943	87	9682	2
1944	105	7971	2
1945	85	2918	2
1946	95	7971	2
1947	59	2918	2
1948	110	9682	2
1949	73	9682	2
1950	98	1764	2
1951	49	6531	2
1952	103	7971	2
1953	65	1385	2
1954	85	7971	2
1955	156	7971	2
1956	69	2918	2
1957	97	2918	2
1958	88	1764	2
1959	94	7971	2
1960	78	9682	2
1961	63	7971	2
1962	96	1764	2
1963	94	1764	2
1964	62	7971	2
1965	91	7971	2
1966	90	9682	2
1967	45	1456	2
1968	69	9682	2
1969	36	7971	2
1970	115	7971	2
1971	76	7971	2
1972	102	7971	2
1973	51	7971	2
1974	93	9682	2
1975	95	1764	2
1976	64	7971	2
1977	64	7971	2
1978	122	9682	2
1979	93	7971	2
1980	87	9682	2
1981	150	7971	2
1982	80	9682	2
1983	55	7971	2
1984	96	9682	2
1985	46	9682	2
1986	20	2918	2
1987	54	9682	2
1988	46	9682	2
1989	149	7971	2
1990	100	7971	2
1991	95	9682	2
1992	156	7971	2
1993	102	7971	2
1994	66	7971	2
1995	23	2918	2
1996	58	1764	2
1997	38	1456	2
1998	43	9682	2
1999	62	1764	2
2000	102	7971	2
2001	85	7971	2
2002	120	7971	2
2003	102	7971	2
2004	99	1764	2
2005	40	1456	2
2006	40	9682	2
2007	114	7971	2
2008	108	7971	2
2009	157	7971	2
2010	142	7971	2
2011	147	7971	2
2012	96	1764	2
2013	68	2918	2
2014	140	7971	2
2015	28	2918	2
2016	41	4877	2
2017	113	9682	2
2018	92	9682	2
2019	85	9682	2
2020	34	9512	2
2021	102	7971	2
2022	113	1764	2
2023	86	1385	2
2024	54	7971	2
2025	71	7971	2
2026	54	9682	2
2027	161	7971	2
2028	110	7971	2
2029	77	2918	2
2030	51	9332	2
2031	54	7971	2
2032	50	3475	2
2033	144	7971	2
2034	58	1764	2
2035	80	1385	2
2036	44	1456	2
2037	149	7971	2
2038	102	7971	2
2039	78	7971	2
2040	37	2918	2
2041	68	7971	2
2042	126	7971	2
2043	22	9196	2
2044	56	7971	2
2045	47	7971	2
2046	164	7971	2
2047	110	9682	2
2048	104	7971	2
2049	153	7971	2
2050	140	7971	2
2051	18	2170	2
2052	90	7971	2
2053	162	7971	2
2054	75	9682	2
2055	59	7971	2
2056	85	7971	2
2057	82	7971	2
2058	77	7971	2
2059	41	5408	2
2060	56	5304	2
2061	86	1764	2
2062	94	7971	2
2063	14	7971	2
2064	101	7971	2
2065	159	7971	2
2066	90	9682	2
2067	135	7971	2
2068	50	9682	2
2069	88	7971	2
2070	46	1456	2
2071	82	9682	2
2072	106	9682	2
2073	36	7296	2
2074	62	7971	2
2075	122	9682	2
2076	50	7971	2
2077	38	7971	2
2078	80	9682	2
2079	65	1385	2
2080	159	7971	2
2081	91	7971	2
2082	61	5304	2
2083	104	7971	2
2084	23	5716	2
2085	88	2918	2
2086	104	7971	2
2087	118	9682	2
2088	90	9682	2
2089	48	9682	2
2090	149	7971	2
2091	60	9682	2
2092	91	1764	2
2093	68	1385	2
2094	164	7971	2
2095	79	7971	2
2096	18	3478	2
2097	134	7971	2
2098	91	1764	2
2099	19	2918	2
2100	85	7971	2
2101	115	7971	2
2102	75	1764	2
2103	56	9332	2
2104	106	7971	2
2105	135	7971	2
2106	68	1764	2
2107	66	1456	2
2108	48	9332	2
2109	106	7971	2
2110	92	9682	2
2111	92	1764	2
2112	104	7971	2
2113	91	7971	2
2114	156	7971	2
2115	52	7900	2
2116	86	9682	2
2117	152	7971	2
2118	73	9682	2
2119	115	7971	2
2120	68	7971	2
2121	92	7971	2
2122	124	9682	2
2123	63	7971	2
2124	97	7971	2
2125	84	7971	2
2126	55	9682	2
2127	119	7971	2
2128	75	1764	2
2129	119	1764	2
2130	144	7971	2
2131	105	7971	2
2132	112	7971	2
2133	63	7971	2
2134	105	7971	2
2135	159	7971	2
2136	95	9682	2
2137	126	9682	2
2138	81	7971	2
2139	45	1456	2
2140	101	7971	2
2141	88	9682	2
2142	93	7971	2
2143	101	2918	2
2144	57	5304	2
2145	51	1385	2
2146	50	2918	2
2147	53	2207	2
2148	99	7971	2
2149	111	9682	2
2150	43	6531	2
2151	105	7971	2
2152	101	9682	2
2153	77	9682	2
2154	45	9344	2
2155	100	7971	2
2156	75	2918	2
2157	112	7971	2
2158	135	7971	2
2159	98	1764	2
2160	94	9682	2
2161	47	9682	2
2162	99	7971	2
2163	87	9682	2
2164	30	6703	2
2165	111	7971	2
2166	98	7971	2
2167	102	9682	2
2168	83	7971	2
2169	28	7967	2
2170	14	6777	2
2171	121	1764	2
2172	121	9682	2
2173	66	1385	2
2174	28	2918	2
2175	99	1764	2
2176	44	4541	2
2177	88	9682	2
2178	84	1764	2
2179	81	7971	2
2180	52	7971	2
2181	38	9682	2
2182	165	7971	2
2183	67	9682	2
2184	57	2918	2
2185	75	7971	2
2186	64	7971	2
2187	104	7971	2
2188	74	1385	2
2189	23	3478	2
2190	40	9682	2
2191	126	9682	2
2192	106	7971	2
2193	91	9682	2
2194	51	1385	2
2195	68	7971	2
2196	82	9682	2
2197	107	9682	2
2198	47	3544	2
2199	108	7971	2
2200	59	1456	2
2201	89	7971	2
2202	87	9682	2
2203	107	9682	2
2204	75	9682	2
2205	36	3478	2
2206	76	7971	2
2207	41	7234	2
2208	51	3544	2
2209	149	7971	2
2210	49	3441	2
2211	70	1385	2
2212	30	7296	2
2213	77	7971	2
2214	48	5304	2
2215	64	1764	2
2216	81	7971	2
2217	79	7971	2
2218	83	1764	2
2219	44	7971	2
2220	106	9682	2
2221	74	7971	2
2222	57	1764	2
2223	61	7971	2
2224	132	7971	2
2225	116	7971	2
2226	102	7971	2
2227	23	7481	2
2228	86	1764	2
2229	47	7971	2
2230	24	7971	2
2231	58	9682	2
2232	78	7971	2
2233	84	9682	2
2234	49	2918	2
2235	97	7971	2
2236	49	2207	2
2237	110	7971	2
2238	53	9332	2
2239	53	9682	2
2240	102	9682	2
2241	115	9682	2
2242	53	5304	2
2243	73	7971	2
2244	47	3475	2
2245	41	7703	2
2246	76	9682	2
2247	105	1764	2
2248	52	7971	2
2249	60	7971	2
2250	70	1456	2
2251	87	9682	2
2252	77	9682	2
2253	91	7971	2
2254	93	2918	2
2255	154	7971	2
2256	63	7971	2
2257	111	7971	2
2258	45	9682	2
2259	60	7971	2
2260	96	1764	2
2261	43	7900	2
2262	91	7971	2
2263	68	7971	2
2264	55	9682	2
2265	102	7971	2
2266	41	7971	2
2267	71	2918	2
2268	48	2610	2
2269	134	7971	2
2270	104	7971	2
2271	54	7971	2
2272	88	7971	2
2273	105	7971	2
2274	75	1764	2
2275	24	9620	2
2276	47	1764	2
2277	56	9332	2
2278	126	7971	2
2279	79	7971	2
2280	82	9682	2
2281	85	9682	2
2282	82	7971	2
2283	88	9682	2
2284	84	7971	2
2285	24	1138	2
2286	51	9682	2
2287	54	1456	2
2288	32	9682	2
2289	143	7971	2
2290	61	9682	2
2291	20	2170	2
2292	31	2212	2
2293	86	9682	2
2294	63	7971	2
2295	85	9682	2
2296	119	7971	2
2297	115	7971	2
2298	48	7971	2
2299	52	7900	2
2300	48	7971	2
2301	68	1385	2
2302	94	1764	2
2303	47	7900	2
2304	111	9682	2
2305	79	9682	2
2306	98	1764	2
2307	120	9682	2
2308	148	7971	2
2309	143	7971	2
2310	114	1764	2
2311	59	1764	2
2312	134	9682	2
2313	42	5408	2
2314	83	9682	2
2315	23	8567	2
2316	19	3478	2
2317	49	9332	2
2318	93	7971	2
2319	64	7971	2
2320	52	1385	2
2321	136	7971	2
2322	93	7971	2
2323	96	9682	2
2324	69	7971	2
2325	42	7234	2
2326	45	7971	2
2327	73	9682	2
2328	80	7971	2
2329	64	7971	2
2330	135	7971	2
2331	86	9682	2
2332	87	9682	2
2333	99	1764	2
2334	94	7971	2
2335	136	7971	2
2336	105	7971	2
2337	32	1800	2
2338	89	7971	2
2339	55	7971	2
2340	33	2918	2
2341	92	7971	2
2342	100	7971	2
2343	104	7971	2
2344	76	2918	2
2345	58	1456	2
2346	39	9682	2
2347	92	9682	2
2348	77	7971	2
2349	84	1764	2
2350	89	2918	2
2351	74	7971	2
2352	155	7971	2
2353	49	2610	2
2354	83	9682	2
2355	31	1800	2
2356	80	9682	2
2357	50	9332	2
2358	65	7971	2
2359	54	1764	2
2360	84	9682	2
2361	16	3478	2
2362	99	9682	2
2363	45	7971	2
2364	87	1764	2
2365	41	9184	2
2366	14	9196	2
2367	86	7971	2
2368	112	9682	2
2369	65	7971	2
2370	60	7971	2
2371	68	7971	2
2372	102	7971	2
2373	49	7900	2
2374	34	7296	2
2375	66	1456	2
2376	51	9682	2
2377	43	9332	2
2378	41	9344	2
2379	45	2881	2
2380	54	7971	2
2381	37	9682	2
2382	58	1385	2
2383	25	2918	2
2384	156	7971	2
2385	117	7971	2
2386	112	7971	2
2387	53	9332	2
2388	63	9682	2
2389	98	7971	2
2390	108	7971	2
2391	101	7971	2
2392	32	2918	2
